219	62	0	0	4	378	3	0	4	13	364	1	0	0		22	9	4	22	25
560	35	6	7	12	367	0	2	20	3	345	38	0	2		78	60	0	22	2
297	3	1	0	4	370	16	3	7	1	370	1	8	0		3	24	3	7	36
766	3	2	0	0	373	0	0	8	0	358	0	0	0		0	88	0	8	1
288	38	0	2	4	363	4	1	0	0	367	38	0	0		26	24	0	1	22
312	66	2	0	3	480	8	0	3	0	418	0	1	3		2	60	1	7	0
691	34	0	81	8	333	38	0	0	1	350	1	0	2		23	0	35	3	44
267	26	0	0	0	380	0	0	3	0	364	0	0	6		17	12	0	3	22
219	46	0	6	2	416	1	6	0	17	338	0	0	0		1	20	88	18	2
305	0	11	0	0	390	8	0	2	0	494	2	8	13		7	68	6	0	24
228	0	0	3	6	367	2	15	6	1	362	10	15	9		32	85	1	3	22
240	8	10	5	11	354	9	7	11	5	360	6	3	0		0	20	48	25	5
636	5	1	6	1	371	37	0	0	2	363	0	1	4		23	25	0	25	0
478	10	48	37	0	366	9	0	3	0	341	10	0	80		6	6	0	19	27
330	0	6	10	5	336	2	27	17	0	332	76	27	10		3	85	1	1	22
276	1	0	0	3	345	39	4	2	0	364	36	0	6		24	23	6	22	0
307	34	80	3	5	358	3	0	0	5	368	0	0	0		0	18	0	26	28
223	2	0	1	1	865	80	36	8	9	354	9	0	33		0	0	0	10	11
237	2	3	0	2	365	2	0	0	6	370	0	10	29		18	1	13	0	0
239	28	0	1	2	419	28	0	5	81	394	55	97	0		4	7	0	11	17
229	0	1	2	1	368	11	0	6	2	353	3	1	3		37	30	1	3	5
396	49	5	0	20	55	0	0	5	5	42	13	5	0		3	7	19	0	0
405	21	45	23	0	369	7	40	10	0	352	0	0	0		4	19	8	4	7
255	13	22	12	2	466	6	3	20	15	36	6	0	11		26	20	1	0	15
239	0	18	8	11	342	2	0	16	0	949	5	0	7		28	25	0	23	26
230	7	5	78	0	1757	1	767	5	13	487	5	21	5		24	10	0	7	35
298	45	11	17	4	373	11	8	27	4	367	14	0	0		80	6	0	0	29
221	86	3	2	28	382	31	5	0	0	365	0	0	2		0	38	40	0	11
303	34	0	1	14	342	5	2	1	0	368	77	20	0		80	18	54	5	10
295	2	9	11	1	361	27	14	0	2	392	0	0	0		37	0	40	5	5
