257	27	0	370	30	50	70	119	83	0	19	48	14	81		3	8	0	0	0
274	27	0	410	40	0	0	63	32	5	79	61	84	0		0	11	17	0	32
249	0	0	400	54	0	12	69	16	0	19	64	34	3		25	0	78	0	0
308	1	0	482	6	7	1	45	0	0	0	40	5	2		34	30	0	4	19
258	29	3	371	0	78	1	47	0	0	11	94	0	105		0	6	0	11	4
228	359	0	359	0	41	0	47	83	78	3	99	50	0		38	17	0	11	0
249	55	10	359	0	2	0	47	6	11	6	54	0	0		566	8	0	2	0
231	29	0	423	34	2	0	47	0	1	1	48	27	0		2	13	2	22	20
311	35	3	976	0	7	0	41	6	0	1	46	2	0		2	11	2	2	0
238	31	72	711	42	0	5	35	82	82	80	56	2	1		14	6	0	8	10
258	40	5	356	28	86	0	49	4	3	48	48	27	0		35	22	77	1	4
242	38	9	363	0	15	4	52	0	4	15	59	0	21		4	11	0	1	29
300	0	1	878	27	0	83	126	11	7	81	53	3	0		24	2	0	28	7
227	35	0	387	3	0	0	4	0	1	0	62	0	6		1	34	0	0	40
219	26	4	354	0	1	0	45	58	2	7	56	0	4		33	29	8	9	18
389	35	6	361	0	2	0	47	4	0	0	51	0	0		0	9	106	11	6
223	29	4	426	0	30	0	45	1	5	2	45	1	0		5	6	11	1	10
244	32	3	375	0	47	78	55	83	31	6	120	0	0		3	4	0	39	0
516	102	3	511	10	79	69	47	6	0	76	64	0	0		21	4	0	11	10
239	34	7	57	40	6	8	376	6	47	0	45	10	0		9	0	0	35	4
704	0	5	1083	38	4	8	34	739	45	0	60	3	0		28	2	0	86	3
279	27	8	352	57	0	4	47	0	57	0	371	3	0		32	2	2	43	31
249	32	0	365	0	0	1	45	31	5	0	51	27	2		1	6	0	11	8
354	48	4	487	4	0	0	22	0	2	0	48	49	2		6	0	0	4	8
241	28	1	373	5	0	5	50	0	2	1	44	0	46		18	0	0	8	102
295	0	4	388	1	80	2	41	0	0	0	56	3	1		4	11	0	30	3
207	32	0	368	2	3	0	48	0	2	0	52	6	47		13	9	0	72	9
242	30	2	417	56	6	0	126	80	3	7	67	0	80		3	2	0	4	23
222	28	0	462	3	0	2	61	5	5	11	53	5	0		0	52	5	8	9
257	32	0	438	34	0	76	42	0	0	3	45	0	0		26	36	0	0	17
